Id,Start,Name,Impact,Currency
62a5f8fa-6d2d-445a-a654-126bad910082,08/02/2020 23:50:00,Gross Domestic Product Annualized,MEDIUM,JPY
8b2296c7-337e-4048-b38f-9f29b335f603,08/02/2020 23:50:00,Gross Domestic Product Deflator (YoY),LOW,JPY
3f0782e1-90ae-4071-9002-ae7e089d4bd2,08/02/2020 23:50:00,Gross Domestic Product (QoQ),HIGH,JPY
adaa7e4f-a86c-4237-b4cd-5040c3ddbda4,08/03/2020 00:30:00,Jibun Bank Manufacturing PMI,LOW,JPY
426ba950-af67-495f-944d-32b30d3bf42d,08/03/2020 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
941acbac-39ac-47f0-928e-03b942880d66,08/03/2020 05:00:00,August Civic Holiday,NONE,CAD
a70ce7e7-0356-47dc-a1d8-2ef46ab67db3,08/03/2020 07:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
0b66dd39-d1cd-4c9b-9b4e-401264d579af,08/03/2020 08:30:00,S&P Global/CIPS Manufacturing PMI,MEDIUM,GBP
94f75f21-bad5-4ae9-8619-e195d0973874,08/03/2020 13:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
5ba81ecf-be1b-45e4-9326-04e7d2f97841,08/03/2020 14:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
29679282-ff80-4ff3-b4ec-21317515421e,08/03/2020 14:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
a70faca2-a091-4350-85e4-a896478888b2,08/03/2020 14:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
5675a67c-8f6b-4168-9a5a-c077989a23fc,08/03/2020 14:00:00,Construction Spending (MoM),LOW,USD
131a173e-c923-45f1-841b-ff0137c58d18,08/03/2020 14:00:00,ISM Manufacturing PMI,HIGH,USD
a20b03c5-8a1e-45bc-81a7-4d7e38bd821a,08/03/2020 15:30:00,6-Month Bill Auction,LOW,USD
7bd3c4bc-9ef4-4e25-8465-5fb17316c9a4,08/03/2020 15:30:00,3-Month Bill Auction,LOW,USD
a3c5a4d9-5958-450d-b742-d3ad026a033b,08/03/2020 18:00:00,Loan Officer Survey,LOW,USD
dfa96b4d-4e35-4e96-a7b3-f462e5587cea,08/03/2020 19:30:00,Total Vehicle Sales,LOW,USD
3a6dbd0b-bbe8-4658-a666-73560f11c871,08/03/2020 23:30:00,"Tokyo CPI ex Food, Energy (YoY)",MEDIUM,JPY
baf026de-6760-48fa-aa2d-a5259ecc8c17,08/03/2020 23:30:00,Tokyo CPI ex Fresh Food (YoY),MEDIUM,JPY
ce8cde2b-457d-4eeb-80d5-c9033b47839f,08/03/2020 23:30:00,Tokyo Consumer Price Index (YoY),MEDIUM,JPY
fd8d2b1b-a483-4775-bd10-2767767b60cd,08/03/2020 23:50:00,Monetary Base (YoY),LOW,JPY
5283a996-1365-4397-bab7-1711822f881e,08/04/2020 03:35:00,10-y Bond Auction,LOW,JPY
51a1ee9e-25d9-4264-9a4e-1c95e131320a,08/04/2020 06:00:00,BoE MPC Vote Rate Unchanged,HIGH,GBP
c3cb9837-6b07-4e95-8d9c-e8d6ed5236fc,08/04/2020 06:00:00,BoE MPC Vote Rate Cut,HIGH,GBP
e113c5fa-5f55-4c58-9037-022901178e01,08/04/2020 12:55:00,Redbook Index (MoM),LOW,USD
ca56237e-0536-4333-b5f4-7ef202eba637,08/04/2020 12:55:00,Redbook Index (YoY),LOW,USD
94c7d60c-f91f-4fb0-ba01-0b237e01aafc,08/04/2020 13:30:00,S&P Global Manufacturing PMI,MEDIUM,CAD
460d72c0-96c3-4558-879d-9965e90da9ce,08/04/2020 13:45:00,ISM-NY Business Conditions Index,LOW,USD
f349eed0-1ca4-4a0d-b2a5-7d1d71d9d9db,08/04/2020 14:00:00,Factory Orders (MoM),MEDIUM,USD
38b33ca1-f3cf-416b-8113-a2c96b665752,08/04/2020 14:00:00,RealClearMarkets/TIPP Economic Optimism (MoM),LOW,USD
d49e540c-4ac3-47d8-9416-155115525910,08/04/2020 15:00:00,GDT Price Index,MEDIUM,NZD
d09473bb-a48a-4fcd-9906-1cf4a350a061,08/04/2020 20:30:00,API Weekly Crude Oil Stock,LOW,USD
e856d302-ff62-4e45-9f5a-24ea9506ce03,08/04/2020 22:45:00,Labour Cost Index (QoQ),MEDIUM,NZD
1a048a34-4ddc-43fe-8e10-43e48d6564cd,08/04/2020 22:45:00,Unemployment Rate,HIGH,NZD
d21901d2-705a-4af7-b39d-71b9e144dc5f,08/04/2020 22:45:00,Participation Rate,MEDIUM,NZD
20e56a2a-dd41-4a5c-ba83-b6b9efc33f4c,08/04/2020 22:45:00,Labour Cost Index (YoY),LOW,NZD
9c730e61-b14b-48ec-8ae8-f3e64dcc42e1,08/04/2020 22:45:00,Employment Change,HIGH,NZD
bcb2309d-7bda-482c-b41d-5147c39a2b1e,08/05/2020 00:30:00,Jibun Bank Services PMI,LOW,JPY
ef586398-5d29-4a66-9711-73f43050b08e,08/05/2020 01:00:00,ANZ Commodity Price,LOW,NZD
f17d3b33-fc1c-4e7f-814e-adafd307b3a2,08/05/2020 01:45:00,Caixin Services PMI,MEDIUM,CNY
