date,close,open,high,low      
01/21/2024,17462.75,17462.75,17462.75,17462.75
01/20/2024,17462.75,17462.75,17462.75,17462.75
01/19/2024,17438.50,17116.00,17471.25,17107.25
01/18/2024,17110.00,16854.50,17125.75,16834.25
01/17/2024,16869.75,16978.00,16982.00,16689.25
01/16/2024,16966.50,16961.75,17033.75,16811.75
01/15/2024,16936.25,16946.75,17022.75,16933.50
01/14/2024,16945.25,16955.25,16964.00,16939.00
01/13/2024,16955.25,16955.25,16955.25,16955.20
01/12/2024,16969.25,16957.75,17042.50,16866.50
01/11/2024,16966.25,16955.00,17057.00,16753.00
01/10/2024,16945.25,16829.50,16983.00,16801.50
01/09/2024,16830.25,16788.00,16868.50,16657.75
01/08/2024,16803.75,16470.00,16811.25,16378.25
01/06/2024,16465.00,16465.00,16465.00,16465.00
01/05/2024,16460.25,16455.00,16577.25,16334.25     
01/04/2024,16445.00,16545.25,16587.25,16436.00      
01/03/2024,16538.00,16736.75,16737.25,16522.00      
01/02/2024,16720.00,17019.00,17038.50,16622.50      
01/01/2024,17029.50,17018.25,17037.00,17014.75   
12/31/2023,17003.75,17003.75,17003.75,17003.00
12/30/2023,17003.75,17003.75,17003.75,17003.70
12/29/2023,17023.50,17090.25,17131.00,16938.25      
12/28/2023,17090.50,17127.00,17165.25,17077.75      
12/27/2023,17113.25,17090.25,17133.00,17055.50     
12/26/2023,17083.50,16964.50,17111.25,16964.50     
12/25/2023,17004.00,16991.75,17011.00,16985.00   
12/24/2023,16962.50,16962.50,16962.50,16962.00
12/23/2023,16962.50,16962.50,16962.50,16962.50
12/22/2023,16980.00,16956.00,17041.50,16891.50     
12/21/2023,16956.50,16790.25,16970.25,16790.25     
12/20/2023,16766.25,17024.00,17073.50,16758.50      
12/19/2023,17023.00,16917.00,17029.50,16910.75     
12/18/2023,16939.75,16820.25,16974.00,16802.25     
12/16/2023,16815.00,16815.00,16815.00,16815.00
12/15/2023,16820.25,16739.25,16887.25,16732.25   
12/14/2023,16753.00,16777.50,16885.00,16628.00   
12/13/2023,16777.25,16596.00,16806.50,16576.00     
12/12/2023,16575.50,16453.00,16600.00,16396.50     
12/11/2023,16450.00,16301.25,16460.00,16256.25     
12/09/2023,16094.00,16094.00,16094.00,16094.00
12/08/2023,16308.75,16222.00,16329.00,16098.00     
12/07/2023,16244.75,16007.00,16271.75,15994.00    
12/06/2023,16017.25,16098.75,16241.25,16004.50     
12/05/2023,16110.25,16054.25,16162.50,15961.00    
12/04/2023,16069.50,16220.25,16220.25,15920.25    
12/02/2023,16030.25,16030.25,16030.25,16030.00
12/01/2023,16023.75,15955.00,16050.00,15864.00     
11/30/2023,15985.50,16040.25,16098.50,15856.00      
11/29/2023,16023.75,16055.50,16208.50,16013.50      
11/28/2023,16048.00,16005.25,16071.50,15945.25     
11/27/2023,16008.75,16008.00,16089.25,15938.75      
11/24/2023,16021.00,16036.75,16086.50,15981.75      
11/23/2023,16065.00,16045.75,16086.25,16038.50    
11/22/2023,16049.25,15967.25,16173.50,15942.75     
11/21/2023,15990.25,16087.50,16122.50,15912.00     
11/20/2023,16086.50,15895.00,16116.75,15837.25     
11/18/2023,15874.25,15874.25,15874.25,15874.20
11/17/2023,15895.75,15897.75,15940.00,15825.00      
11/16/2023,15897.50,15846.75,15906.75,15796.75     
11/15/2023,15889.25,15895.00,16049.50,15832.25     
11/14/2023,15879.75,15558.00,15918.75,15552.00     
11/13/2023,15547.00,15586.25,15601.25,15465.25      
11/10/2023,15596.25,15254.75,15612.75,15207.25     
11/09/2023,15256.00,15356.25,15453.75,15236.75      
11/08/2023,15386.50,15373.00,15417.50,15286.75     
11/07/2023,15374.25,15215.00,15412.25,15176.00     
11/06/2023,15232.50,15187.00,15257.50,15138.00     
11/03/2023,15178.75,14928.00,15228.50,14925.50     
11/02/2023,14998.00,14761.25,15017.25,14760.00     
11/01/2023,14744.50,14460.00,14762.00,14410.75     
10/31/2023,14490.25,14410.50,14503.75,14311.25     
10/30/2023,14416.50,14336.00,14476.50,14303.00     
10/27/2023,14265.25,14248.25,14407.75,14209.75     
10/26/2023,14194.00,14425.00,14459.00,14140.25      
10/25/2023,14478.25,14828.00,14855.00,14444.00      
10/24/2023,14846.50,14744.00,14948.75,14706.00     
10/23/2023,14712.00,14680.00,14853.75,14514.25     
10/20/2023,14664.00,14850.00,14887.50,14645.00      
10/19/2023,14890.00,15045.00,15138.25,14839.50    
10/18/2023,15025.25,15236.50,15238.25,14979.25      
10/17/2023,15240.75,15305.75,15309.25,15050.25      
10/16/2023,15289.50,15120.00,15336.75,15083.00     
10/13/2023,15120.25,15324.00,15366.75,15062.25      
10/12/2023,15315.00,15407.50,15468.75,15216.25      
10/11/2023,15380.00,15282.25,15416.75,15253.00     
10/10/2023,15270.75,15196.50,15383.50,15171.75     
10/09/2023,15187.00,15040.25,15212.75,14949.50     
10/06/2023,15112.00,14853.75,15160.25,14660.00     
10/05/2023,14861.75,14903.00,14958.75,14716.25      
10/04/2023,14923.75,14713.75,14956.00,14589.00     
10/03/2023,14714.50,14989.50,15031.00,14651.50      
10/02/2023,14984.75,14965.00,15046.00,14826.00     
09/29/2023,14866.50,14876.50,15060.75,14811.00     
09/28/2023,14859.75,14772.50,14947.50,14658.00     
09/27/2023,14739.00,14725.25,14821.50,14586.00     
09/26/2023,14715.00,14949.00,14949.00,14666.25      
09/25/2023,14935.25,14880.25,14955.75,14782.25     
09/22/2023,14869.50,14854.50,15027.50,14836.25     
09/21/2023,14862.75,15133.25,15149.00,14841.00      
09/20/2023,15152.00,15375.25,15436.25,15127.00      
09/19/2023,15375.25,15424.25,15442.25,15248.50      
09/18/2023,15414.50,15382.25,15461.00,15330.50     
09/15/2023,15392.25,15677.00,15719.75,15356.75      
09/14/2023,15673.50,15569.00,15714.50,15531.00     
09/13/2023,15552.25,15500.75,15619.75,15406.00     
09/12/2023,15500.00,15662.25,15680.00,15483.75      
09/11/2023,15674.25,15501.75,15696.00,15492.75     
09/09/2023,15313.00,15313.00,15313.00,15313.00
09/08/2023,15493.75,15480.25,15586.50,15417.00     
09/07/2023,15477.25,15586.25,15590.00,15352.00     
09/06/2023,15595.50,15711.75,15730.00,15506.75     
09/05/2023,15732.00,15709.00,15784.25,15613.00    
09/04/2023,15526.75,15517.25,15578.25,15511.25    
09/03/2023,15516.50,15516.25,15525.50,15501.00   
09/01/2023,15516.25,15534.00,15661.25,15454.00      
08/31/2023,15538.50,15513.75,15606.75,15460.00     
08/30/2023,15501.25,15427.50,15522.75,15361.50     
08/29/2023,15415.75,15098.75,15430.50,15049.75     
08/28/2023,15092.50,14991.00,15126.50,14973.50     
08/25/2023,14979.25,14833.00,15048.75,14751.75     
08/24/2023,14862.00,15333.00,15418.00,14817.00      
08/23/2023,15195.50,14959.75,15356.75,14957.25     
08/22/2023,14958.50,14974.50,15118.25,14932.00      
08/21/2023,14985.75,14762.50,15013.75,14720.50     
08/18/2023,14744.00,14748.00,14802.75,14609.25      
08/17/2023,14778.00,14940.25,15018.25,14738.25      
08/16/2023,14942.25,15110.75,15166.00,14921.50      
08/15/2023,15106.50,15279.00,15335.00,15074.75      
08/14/2023,15270.25,15104.00,15282.00,15020.75     
08/11/2023,15095.75,15219.00,15266.75,15037.25      
08/10/2023,15201.25,15202.50,15442.25,15136.00     
08/09/2023,15178.25,15351.75,15432.50,15146.50      
08/08/2023,15354.25,15495.00,15497.75,15218.00      
08/07/2023,15485.50,15370.50,15495.50,15334.25     
08/04/2023,15354.00,15441.00,15610.25,15336.50      
08/03/2023,15438.75,15455.75,15551.75,15339.50      
08/02/2023,15473.00,15757.00,15789.75,15414.00      
08/01/2023,15817.25,15869.25,15889.25,15728.25      
07/31/2023,15857.50,15850.00,15917.00,15791.25     
07/28/2023,15847.50,15580.00,15896.00,15546.25     
07/27/2023,15571.00,15638.75,15904.00,15511.25      
07/26/2023,15610.75,15730.25,15739.25,15515.00      
07/25/2023,15673.00,15570.00,15736.25,15549.25     
07/24/2023,15561.25,15556.00,15618.75,15483.75     
07/22/2023,15555.00,15555.00,15555.00,15555.00
07/21/2023,15540.00,15590.75,15719.25,15522.25      
07/20/2023,15592.25,15922.75,15925.75,15547.00      
07/19/2023,15959.25,15949.25,16062.75,15911.25      
07/18/2023,15974.75,15832.00,16029.75,15733.00     
07/17/2023,15840.75,15690.00,15882.75,15661.50     
07/14/2023,15694.25,15699.00,15857.25,15663.00      
07/13/2023,15711.50,15457.75,15741.25,15456.50     
07/12/2023,15444.75,15258.00,15507.75,15254.50     
07/11/2023,15260.00,15195.75,15278.75,15109.50     
07/10/2023,15187.00,15198.50,15218.25,15063.25     
07/07/2023,15181.75,15211.75,15359.75,15172.25      
07/06/2023,15238.00,15353.75,15366.00,15111.50      
07/05/2023,15360.75,15357.00,15432.00,15255.25     
07/04/2023,15340.75,15336.50,15368.25,15334.50     
